Month,Campaign,Type,Programs,Contacts
July,All programs current cohort Application nudge _ July 24 (3).xlsx,Application Nudge,General,982
July,_PW Confirm Nudge C3 July 8.xlsx,Application Nudge,Pathway,55
July,_Ai for Creative & Content Creation _ Creative Unleash Invite - July.xlsx,Event Invitation,Content Creation,986
July,PF_C10_Activation_Nudge_July8 (2).xlsx,Application Nudge,"Pathway, Virtual Assistant",100
July,_PW Payment Nudge  C3 JUL 8  (1).xlsx,Payment Nudge,Pathway,178
July,_Ai for Creative & Content Creation _ Creative Unleash Invite - July (2).xlsx,Event Invitation,Content Creation,986
July,_ Payment Nudge - All Selected Programs (1).xlsx,Payment Nudge,General,1569
July,PF_C10_Activation_Nudge_July8 (6).xlsx,Application Nudge,"Pathway, Virtual Assistant",100
July,_ Payment Nudge - All Selected Programs (5).xlsx,Payment Nudge,General,1569
July,PW Inprogress App Nudge C3 (1).xlsx,Application Nudge,Pathway,165
July,All Programs Current Cohort _ Application Nudge July 15.xlsx,Application Nudge,General,403
July,PF_C10_Activation_Nudge_July8 (4).xlsx,Application Nudge,"Pathway, Virtual Assistant",100
July,ALX _ AIESEC Induction Warm Call _ 3rd Round - ALX.xlsx,Other,General,48
July,PW Confirm Nudge C3 July 2.xlsx,Application Nudge,Pathway,43
July,All programs current cohort Application nudge _ July 24 (2).xlsx,Application Nudge,General,982
July,ALX _ AIESEC Induction Warm Call _ 3rd Round - ALX (1).xlsx,Other,General,48
July,Call Back All programs current cohort Application nudge _ July.xlsx,Application Nudge,General,982
July,_ Payment Nudge - All Selected Programs.xlsx,Payment Nudge,General,1569
July,PF_C10_Activation_Nudge_July8 (3).xlsx,Application Nudge,"Pathway, Virtual Assistant",100
July,PF_C10_Activation_Nudge_July8 (1).xlsx,Application Nudge,"Pathway, Virtual Assistant",100
July,_ Payment Nudge - All Selected Programs (2).xlsx,Payment Nudge,General,1569
July,_Ai for Creative & Content Creation _ Creative Unleash Invite - July (1).xlsx,Event Invitation,Content Creation,986
July,Application Nudge VA - July (1).xlsx,Application Nudge,Virtual Assistant,747
July,Call Back Payment list Jul 11.xlsx,Payment Nudge,General,54
July,PF_C10_Activation_Nudge_July8 (5).xlsx,Application Nudge,"Pathway, Virtual Assistant",100
July,_ Payment Nudge - All Selected Programs (6).xlsx,Payment Nudge,General,1569
July,PW Inprogress App Nudge C3 JUL 8 (1).xlsx,Application Nudge,Pathway,202
July,PW Inprogress App Nudge C3 (2).xlsx,Application Nudge,Pathway,165
July,_ Payment Nudge - All Selected Programs (4).xlsx,Payment Nudge,General,1569
July,PW Inprogress App Nudge C3 JUL 8.xlsx,Application Nudge,Pathway,202
July,PF_C10_Activation_Nudge_July8 (7).xlsx,Application Nudge,"Pathway, Virtual Assistant",100
July,PF_C10_Activation_Nudge_July8.xlsx,Application Nudge,"Pathway, Virtual Assistant",100
July,PW Confirm Nudge C3 July 2 (1).xlsx,Application Nudge,Pathway,43
July,Call Back All programs current cohort Application nudge _ July (1).xlsx,Application Nudge,General,982
August,PF C9 & C10 _ DS C5 _ Retarget Aug 15.xlsx,Other,"Pathway, Data Science",130
August,Pathway Family Career day Aug 7.xlsx,Other,Pathway,260
August,PF C9 & C10 _ DS C5 _ Retarget Aug 13 (1).xlsx,Other,"Pathway, Data Science",130
August,All Program Inprogress Aug 19.xlsx,In-Progress Follow-up,General,773
August,Graphic Design Application Nudge Event Invite _ August 27.xlsx,Application Nudge,General,90
August,Payment Nudge _ Aug 6  (1).xlsx,Payment Nudge,General,1688
August,PW C3 Aug 21 _ Passed -_ Enroll.xlsx,Other,Pathway,68
August,_Ai for Creative & Content Creation _ Creative Unleash Invite - Aug 7.xlsx,Event Invitation,Content Creation,986
August,_Ai for Creative & Content Creation _ Creative Unleash Invite - Aug 7 (1).xlsx,Event Invitation,Content Creation,986
August,PF C9 & C10 _ DS C5 _ Retarget Aug 13.xlsx,Other,"Pathway, Data Science",130
August,Unleash Your Creative Future (Responses) Aug1 .xlsx,Other,General,237
August,ALX x Fred Visit _ Fireside chat - Invite August 12.xlsx,Event Invitation,General,21
August,Graphic Design C2 _ C3 Event Invite  _ August 28.xlsx,Event Invitation,General,536
August,DS C5 & C6 - Prev Cohort Aug 19.xlsx,Other,Data Science,535
August,Pathway Cohort 3 Application Nudge (deadline Sept 1)  _ August 27.xlsx,Application Nudge,Pathway,339
August,_Ai for Creative & Content Creation _ Creative Unleash Invite - Aug 1.xlsx,Event Invitation,Content Creation,986
August,DS C5 & C6 - Prev Cohort Aug 15.xlsx,Other,Data Science,535
August,Payment Nudge _ Aug 14 .xlsx,Payment Nudge,General,1688
August,ALX x Fred Visit - Invite Aug 8.xlsx,Event Invitation,General,2536
August,Payment Nudge _ Aug 5 .xlsx,Payment Nudge,General,1688
August,AI Collective _ AICE - Aug 1.xlsx,Other,AiCE,482
August,Application Nudge _ August 5 .xlsx,Application Nudge,General,1688
August,Payment Nudge _ Aug 19.xlsx,Payment Nudge,General,1688
August,ALX Creative Tech Cohort 1 _ Activation Nudge - Aug 29 .xlsx,Application Nudge,Virtual Assistant,251
August,PF C9 & C10 _ DS C5 _ Retarget Aug 26.xlsx,Other,"Pathway, Data Science",130
August,Payment Nudge _ Aug 6 .xlsx,Payment Nudge,General,1688
August,VA Cohort 11 Payment Nudge  _ August 28.xlsx,Payment Nudge,Virtual Assistant,1053
August,Application Nudge _ August 13 (1).xlsx,Application Nudge,General,1688
August,Payment Nudge _ Aug 14  (1).xlsx,Payment Nudge,General,1688
August,All Program Inprogress Aug 21.xlsx,In-Progress Follow-up,General,773
August,Application Nudge _ August 7.xlsx,Application Nudge,General,1688
August,Application Nudge _ August 6 .xlsx,Application Nudge,General,1688
August,All Program Inprogress Aug 20.xlsx,In-Progress Follow-up,General,773
August,Payment Nudge _ Aug 13 .xlsx,Payment Nudge,General,1688
August,Application Nudge _ August 13.xlsx,Application Nudge,General,1688
August,VA Cohort 11 Payment Nudge  _ August 29.xlsx,Payment Nudge,Virtual Assistant,1053
